# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = shift_LCDM_model
# start_datetime = 2023-03-15 14:30:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 2500
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = data/shift.json
# init = config/init.json
# random
#   seed = 3973526814 (Default)
# output
#   file = output/shift-LCDM/chain/1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Omega_b,Omega_c,wr,Omega_r,Omega_L,theta.1,theta.2,theta.3,theta.4,theta.5,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
-207.615,2.25328e-12,0.000488281,1,2,1,207.762,0.7,0.05,0.25,4.15e-05,8.46939e-05,0.699915,0.7,0.05,0.25,8.46939e-05,0.699915,0.0568295,0.546008,1089.38,0,0,3.17934,3.17934,0.0332351,300.531,1.7414,0.0245,-1.03857,0.000695167,0.00222
-207.615,0,2.33506,0,1,1,208.32,0.7,0.05,0.25,4.15e-05,8.46939e-05,0.699915,0.7,0.05,0.25,8.46939e-05,0.699915,0.0568295,0.546008,1089.38,0,0,3.17934,3.17934,0.0332351,300.531,1.7414,0.0245,-1.03857,0.000695167,0.00222
-207.615,0,0.230236,0,1,1,210.581,0.7,0.05,0.25,4.15e-05,8.46939e-05,0.699915,0.7,0.05,0.25,8.46939e-05,0.699915,0.0568295,0.546008,1089.38,0,0,3.17934,3.17934,0.0332351,300.531,1.7414,0.0245,-1.03857,0.000695167,0.00222
-207.615,0,0.0166944,0,1,1,208.377,0.7,0.05,0.25,4.15e-05,8.46939e-05,0.699915,0.7,0.05,0.25,8.46939e-05,0.699915,0.0568295,0.546008,1089.38,0,0,3.17934,3.17934,0.0332351,300.531,1.7414,0.0245,-1.03857,0.000695167,0.00222
-207.615,0,0.00106981,0,1,1,208.026,0.7,0.05,0.25,4.15e-05,8.46939e-05,0.699915,0.7,0.05,0.25,8.46939e-05,0.699915,0.0568295,0.546008,1089.38,0,0,3.17934,3.17934,0.0332351,300.531,1.7414,0.0245,-1.03857,0.000695167,0.00222
-195.32,1,6.61814e-05,2,3,0,208.16,0.699825,0.049864,0.249716,4.15e-05,8.47363e-05,0.700335,0.699825,0.049864,0.249716,8.47363e-05,0.700335,0.0569711,0.546088,1089.45,0,0,3.18111,3.18111,0.033252,300.546,1.74114,0.0244211,-1.02445,0.00044398,0.00214113
-181.554,1,8.85015e-05,2,3,0,195.953,0.699749,0.0495798,0.249291,4.15e-05,8.47546e-05,0.701044,0.699749,0.0495798,0.249291,8.47546e-05,0.701044,0.0572322,0.546233,1089.61,0,0,3.18411,3.18411,0.033287,300.513,1.74072,0.0242767,-1.05717,2.43577e-05,0.00199673
-142.525,0.903949,0.000135987,2,3,0,186.589,0.698798,0.0495294,0.24839,4.15e-05,8.49855e-05,0.701995,0.698798,0.0495294,0.24839,8.49855e-05,0.701995,0.0573973,0.546323,1089.65,0,0,3.18811,3.18811,0.0333025,300.751,1.74014,0.0241861,-0.819341,-0.000563427,0.00190613
-138.797,1,0.000169198,2,3,0,143.604,0.698736,0.049291,0.248446,4.15e-05,8.50006e-05,0.702178,0.698736,0.049291,0.248446,8.50006e-05,0.702178,0.0576188,0.546443,1089.8,0,0,3.1889,3.1889,0.0333201,300.665,1.74003,0.0240655,-0.904739,-0.000670612,0.00178547
-5.48441,0.972731,0.000301724,2,7,0,131.814,0.694888,0.0471193,0.241632,4.15e-05,8.59445e-05,0.711163,0.694888,0.0471193,0.241632,8.59445e-05,0.711163,0.0601499,0.547724,1091.06,0,0,3.22785,3.22785,0.0336415,301.43,1.7345,0.0227525,-0.139832,-0.00619808,0.000472502
