# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = shift_LCDM_model
# start_datetime = 2023-03-15 14:30:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 2500
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = data/shift.json
# init = config/init.json
# random
#   seed = 3973528815 (Default)
# output
#   file = output/shift-LCDM/chain/2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Omega_b,Omega_c,wr,Omega_r,Omega_L,theta.1,theta.2,theta.3,theta.4,theta.5,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
-1.53434,0.997035,7.31257e-05,8,287,0,3.46441,0.679989,0.0477757,0.256237,4.15e-05,8.97521e-05,0.695898,0.679989,0.0477757,0.256237,8.97521e-05,0.695898,0.0615161,0.548349,1092.1,0,0,3.16186,3.16186,0.0329272,301.674,1.74337,0.0220908,0.103774,0.00266588,-0.000189229
-2.94666,0.823962,0.000145527,2,3,0,3.08536,0.680032,0.0474905,0.256356,4.15e-05,8.97406e-05,0.696064,0.680032,0.0474905,0.256356,8.97406e-05,0.696064,0.0617902,0.548469,1092.29,0,0,3.16256,3.16256,0.0329474,301.555,1.74327,0.0219617,-0.014578,0.00257415,-0.000318326
-2.5397,0.98148,0.000170029,3,7,0,5.56737,0.679738,0.047613,0.256125,4.15e-05,8.98184e-05,0.696172,0.679738,0.047613,0.256125,8.98184e-05,0.696172,0.0617101,0.548434,1092.22,0,0,3.16299,3.16299,0.0329391,301.673,1.7432,0.0219993,0.102721,0.0025022,-0.000280713
-0.751671,0.129365,0.000320904,3,15,0,9.39236,0.680819,0.0478132,0.255799,4.15e-05,8.95332e-05,0.696299,0.680819,0.0478132,0.255799,8.95332e-05,0.696299,0.0613656,0.548282,1092.01,0,0,3.16355,3.16355,0.03295,301.627,1.74315,0.0221621,0.0566143,0.0024487,-0.000117875
-1.80206,0.988668,4.64398e-05,6,79,0,2.24721,0.681807,0.0482318,0.255677,4.15e-05,8.92741e-05,0.696002,0.681807,0.0482318,0.255677,8.92741e-05,0.696002,0.0608261,0.548039,1091.68,0,0,3.16235,3.16235,0.032936,301.64,1.74334,0.0224211,0.069686,0.00263831,0.000141053
-0.838258,0.99996,9.0162e-05,7,215,0,2.43658,0.686497,0.0475453,0.249683,4.15e-05,8.80583e-05,0.702683,0.686497,0.0475453,0.249683,8.80583e-05,0.702683,0.060855,0.548052,1091.6,0,0,3.19063,3.19063,0.0332359,301.591,1.73949,0.0224071,0.0212369,-0.00121316,0.000127073
-1.45348,0.998246,0.000179451,6,79,0,2.89191,0.691986,0.046811,0.243611,4.15e-05,8.6667e-05,0.709491,0.691986,0.046811,0.243611,8.6667e-05,0.709491,0.0608382,0.548044,1091.5,0,0,3.22036,3.22036,0.033562,301.443,1.73548,0.0224152,-0.126639,-0.00522355,0.000135188
-2.70974,0.181695,0.000351931,1,3,0,3.07857,0.692173,0.0471996,0.243769,4.15e-05,8.66201e-05,0.708945,0.692173,0.0471996,0.243769,8.66201e-05,0.708945,0.0604315,0.547856,1091.25,0,0,3.21795,3.21795,0.0335277,301.527,1.73581,0.0226135,-0.0432981,-0.00488911,0.000333521
-3.80361,0.976679,6.36596e-05,3,7,0,4.5642,0.692101,0.0467249,0.244085,4.15e-05,8.6638e-05,0.709103,0.692101,0.0467249,0.244085,8.6638e-05,0.709103,0.060908,0.548076,1091.57,0,0,3.21866,3.21866,0.0335574,301.326,1.73572,0.0223814,-0.2439,-0.00498056,0.000101443
-3.27374,1,0.000117311,4,27,0,3.8941,0.691875,0.0472868,0.243957,4.15e-05,8.66947e-05,0.70867,0.691875,0.0472868,0.243957,8.66947e-05,0.70867,0.0603862,0.547835,1091.22,0,0,3.21673,3.21673,0.03351,301.572,1.73597,0.0226358,0.00160017,-0.00472812,0.000355787
-1.37332,0.919418,0.000228884,5,51,0,4.10742,0.689083,0.0470437,0.247007,4.15e-05,8.73988e-05,0.705862,0.689083,0.0470437,0.247007,8.73988e-05,0.705862,0.0609981,0.548117,1091.66,0,0,3.2044,3.2044,0.0333962,301.438,1.73763,0.022338,-0.131679,-0.00306916,5.79951e-05
-1.37744,0.567245,0.00035163,3,13,0,2.81855,0.686481,0.0469883,0.24874,4.15e-05,8.80624e-05,0.704184,0.686481,0.0469883,0.24874,8.80624e-05,0.704184,0.0614047,0.5483,1091.92,0,0,3.19706,3.19706,0.0333082,301.543,1.73859,0.0221435,-0.0267701,-0.00210891,-0.000136461
-0.684794,1,0.000199523,4,15,0,1.4003,0.68661,0.0473922,0.24983,4.15e-05,8.80294e-05,0.70269,0.68661,0.0473922,0.24983,8.80294e-05,0.70269,0.0609892,0.548113,1091.7,0,0,3.19066,3.19066,0.0332462,301.501,1.73949,0.0223423,-0.0686471,-0.00121198,6.22616e-05
-2.26849,0.16008,0.000381595,1,3,0,3.35158,0.686716,0.0478003,0.250401,4.15e-05,8.80022e-05,0.701711,0.686716,0.0478003,0.250401,8.80022e-05,0.701711,0.0605783,0.547924,1091.46,0,0,3.18649,3.18649,0.0331982,301.542,1.74007,0.0225416,-0.0284596,-0.000628841,0.000261628
