# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = shift_LCDM_model
# start_datetime = 2023-03-15 14:30:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 2500
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = data/shift.json
# init = config/init.json
# random
#   seed = 3973532818 (Default)
# output
#   file = output/shift-LCDM/chain/4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Omega_b,Omega_c,wr,Omega_r,Omega_L,theta.1,theta.2,theta.3,theta.4,theta.5,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
-207.615,1.41193e-15,0.000488281,1,1,0,207.982,0.7,0.05,0.25,4.15e-05,8.46939e-05,0.699915,0.7,0.05,0.25,8.46939e-05,0.699915,0.0568295,0.546008,1089.38,0,0,3.17934,3.17934,0.0332351,300.531,1.7414,0.0245,-1.03857,0.000695167,0.00222
-207.615,0,2.33506,0,1,1,210.802,0.7,0.05,0.25,4.15e-05,8.46939e-05,0.699915,0.7,0.05,0.25,8.46939e-05,0.699915,0.0568295,0.546008,1089.38,0,0,3.17934,3.17934,0.0332351,300.531,1.7414,0.0245,-1.03857,0.000695167,0.00222
-207.615,0,0.230236,0,1,1,208.196,0.7,0.05,0.25,4.15e-05,8.46939e-05,0.699915,0.7,0.05,0.25,8.46939e-05,0.699915,0.0568295,0.546008,1089.38,0,0,3.17934,3.17934,0.0332351,300.531,1.7414,0.0245,-1.03857,0.000695167,0.00222
-207.615,0,0.0166944,0,1,1,209.434,0.7,0.05,0.25,4.15e-05,8.46939e-05,0.699915,0.7,0.05,0.25,8.46939e-05,0.699915,0.0568295,0.546008,1089.38,0,0,3.17934,3.17934,0.0332351,300.531,1.7414,0.0245,-1.03857,0.000695167,0.00222
-207.615,0,0.00106981,0,1,1,211.068,0.7,0.05,0.25,4.15e-05,8.46939e-05,0.699915,0.7,0.05,0.25,8.46939e-05,0.699915,0.0568295,0.546008,1089.38,0,0,3.17934,3.17934,0.0332351,300.531,1.7414,0.0245,-1.03857,0.000695167,0.00222
-161.727,1,6.61814e-05,3,7,0,210.609,0.698884,0.0493135,0.249456,4.15e-05,8.49645e-05,0.701146,0.698884,0.0493135,0.249456,8.49645e-05,0.701146,0.0575798,0.546422,1089.82,0,0,3.18451,3.18451,0.0332916,300.509,1.74065,0.0240867,-1.06059,-5.04991e-05,0.00180667
-163.125,0.988307,8.85015e-05,1,1,0,163.388,0.698924,0.0493062,0.249476,4.15e-05,8.4955e-05,0.701133,0.698924,0.0493062,0.249476,8.4955e-05,0.701133,0.0575814,0.546423,1089.82,0,0,3.18446,3.18446,0.0332923,300.499,1.74066,0.0240858,-1.07141,-4.18281e-05,0.0018058
-130.879,1,0.000131127,2,3,0,164.332,0.698266,0.0490176,0.248665,4.15e-05,8.51149e-05,0.702232,0.698266,0.0490176,0.248665,8.51149e-05,0.702232,0.0579258,0.546608,1089.99,0,0,3.18911,3.18911,0.0333297,300.599,1.73999,0.0238998,-0.970774,-0.000708649,0.00161983
-117.138,1,0.000220562,1,1,0,130.409,0.69803,0.0489705,0.2482,4.15e-05,8.51727e-05,0.702744,0.69803,0.0489705,0.2482,8.51727e-05,0.702744,0.0579989,0.546647,1090.02,0,0,3.19129,3.19129,0.0333434,300.681,1.73968,0.0238607,-0.88887,-0.0010203,0.00158066
-117.138,0.00197383,0.000393825,1,3,1,120.652,0.69803,0.0489705,0.2482,4.15e-05,8.51727e-05,0.702744,0.69803,0.0489705,0.2482,8.51727e-05,0.702744,0.0579989,0.546647,1090.02,0,0,3.19129,3.19129,0.0333434,300.681,1.73968,0.0238607,-0.88887,-0.0010203,0.00158066
-115.931,1,3.11324e-05,3,7,0,117.431,0.69803,0.0489841,0.248126,4.15e-05,8.51726e-05,0.702805,0.69803,0.0489841,0.248126,8.51726e-05,0.702805,0.0579865,0.54664,1090,0,0,3.19155,3.19155,0.0333444,300.697,1.73964,0.0238673,-0.873412,-0.00105682,0.00158729
-117.497,0.998275,5.94046e-05,2,3,0,117.677,0.698071,0.0490063,0.248162,4.15e-05,8.51627e-05,0.702747,0.698071,0.0490063,0.248162,8.51627e-05,0.702747,0.0579611,0.546626,1089.99,0,0,3.1913,3.1913,0.0333421,300.694,1.73968,0.0238809,-0.876088,-0.00102156,0.00160091
-114.644,1,0.000115007,3,7,0,117.666,0.698048,0.0489897,0.248026,4.15e-05,8.51682e-05,0.7029,0.698048,0.0489897,0.248026,8.51682e-05,0.7029,0.057979,0.546636,1090,0,0,3.19195,3.19195,0.0333471,300.711,1.73959,0.0238713,-0.85943,-0.00111353,0.00159129
-108.28,0.954882,0.000226405,1,1,0,115.766,0.697946,0.0490618,0.247712,4.15e-05,8.5193e-05,0.703141,0.697946,0.0490618,0.247712,8.5193e-05,0.703141,0.0579265,0.546608,1089.95,0,0,3.19298,3.19298,0.0333484,300.795,1.73944,0.0238995,-0.774653,-0.00126203,0.00161945
-88.687,1,0.000389155,1,1,0,112.009,0.697834,0.0489093,0.246567,4.15e-05,8.52205e-05,0.704439,0.697834,0.0489093,0.246567,8.52205e-05,0.704439,0.0580798,0.546689,1090,0,0,3.19855,3.19855,0.0333925,300.921,1.73866,0.0238174,-0.648521,-0.00204448,0.00153743
