# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = shift_LCDM_model
# start_datetime = 2023-03-15 14:30:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 2500
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = data/shift.json
# init = config/init.json
# random
#   seed = 3973530816 (Default)
# output
#   file = output/shift-LCDM/chain/3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Omega_b,Omega_c,wr,Omega_r,Omega_L,theta.1,theta.2,theta.3,theta.4,theta.5,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
-192.725,1,0.000244141,1,1,0,208.103,0.699797,0.0495997,0.249754,4.15e-05,8.47431e-05,0.700561,0.699797,0.0495997,0.249754,8.47431e-05,0.700561,0.0572086,0.54622,1089.61,0,0,3.18207,3.18207,0.0332728,300.448,1.74101,0.0242897,-1.12193,0.000312778,0.00200971
-192.725,0,14.3855,0,1,1,194.039,0.699797,0.0495997,0.249754,4.15e-05,8.47431e-05,0.700561,0.699797,0.0495997,0.249754,8.47431e-05,0.700561,0.0572086,0.54622,1089.61,0,0,3.18207,3.18207,0.0332728,300.448,1.74101,0.0242897,-1.12193,0.000312778,0.00200971
-192.725,0,2.43117,0,1,1,192.938,0.699797,0.0495997,0.249754,4.15e-05,8.47431e-05,0.700561,0.699797,0.0495997,0.249754,8.47431e-05,0.700561,0.0572086,0.54622,1089.61,0,0,3.18207,3.18207,0.0332728,300.448,1.74101,0.0242897,-1.12193,0.000312778,0.00200971
-192.725,0,0.239791,0,1,1,196.767,0.699797,0.0495997,0.249754,4.15e-05,8.47431e-05,0.700561,0.699797,0.0495997,0.249754,8.47431e-05,0.700561,0.0572086,0.54622,1089.61,0,0,3.18207,3.18207,0.0332728,300.448,1.74101,0.0242897,-1.12193,0.000312778,0.00200971
-192.725,0,0.0186273,0,1,1,193.107,0.699797,0.0495997,0.249754,4.15e-05,8.47431e-05,0.700561,0.699797,0.0495997,0.249754,8.47431e-05,0.700561,0.0572086,0.54622,1089.61,0,0,3.18207,3.18207,0.0332728,300.448,1.74101,0.0242897,-1.12193,0.000312778,0.00200971
-192.725,0,0.00130482,0,1,1,193.617,0.699797,0.0495997,0.249754,4.15e-05,8.47431e-05,0.700561,0.699797,0.0495997,0.249754,8.47431e-05,0.700561,0.0572086,0.54622,1089.61,0,0,3.18207,3.18207,0.0332728,300.448,1.74101,0.0242897,-1.12193,0.000312778,0.00200971
-170.218,0.999191,8.85015e-05,3,7,0,193.718,0.699414,0.049652,0.249091,4.15e-05,8.48358e-05,0.701172,0.699414,0.049652,0.249091,8.48358e-05,0.701172,0.0572103,0.54622,1089.58,0,0,3.18464,3.18464,0.0332815,300.612,1.74064,0.0242888,-0.957818,-6.01121e-05,0.00200878
-36.6353,0.987456,0.000135645,3,15,0,169.485,0.696463,0.0478554,0.244435,4.15e-05,8.55563e-05,0.707624,0.696463,0.0478554,0.244435,8.55563e-05,0.707624,0.0592365,0.547281,1090.62,0,0,3.21232,3.21232,0.0335222,301.048,1.73671,0.0232128,-0.521726,-0.00399487,0.000932785
-1.29283,0.977608,0.000219414,3,7,0,38.2386,0.693399,0.0466759,0.241412,4.15e-05,8.63141e-05,0.711826,0.693399,0.0466759,0.241412,8.63141e-05,0.711826,0.0607832,0.548019,1091.42,0,0,3.23075,3.23075,0.0336613,301.524,1.73406,0.0224419,-0.0463242,-0.00663617,0.000161877
-1.29283,0.0133362,0.000365021,1,3,0,2.10975,0.693399,0.0466759,0.241412,4.15e-05,8.63141e-05,0.711826,0.693399,0.0466759,0.241412,8.63141e-05,0.711826,0.0607832,0.548019,1091.42,0,0,3.23075,3.23075,0.0336613,301.524,1.73406,0.0224419,-0.0463242,-0.00663617,0.000161877
-0.776007,0.999916,2.99079e-05,8,447,0,1.85122,0.688712,0.0469414,0.246385,4.15e-05,8.74929e-05,0.706586,0.688712,0.0469414,0.246385,8.74929e-05,0.706586,0.0611491,0.548185,1091.72,0,0,3.20752,3.20752,0.0334165,301.55,1.73718,0.0222655,-0.0204571,-0.00351682,-1.45277e-05
-1.22834,0.995697,5.70556e-05,8,287,0,1.70269,0.691143,0.0469115,0.243659,4.15e-05,8.68784e-05,0.709343,0.691143,0.0469115,0.243659,8.68784e-05,0.709343,0.0608517,0.54805,1091.49,0,0,3.21967,3.21967,0.0335382,301.593,1.73555,0.0224087,0.022763,-0.00515246,0.000128662
-1.79758,0.988713,0.00010958,6,71,0,2.56427,0.692443,0.046539,0.241528,4.15e-05,8.65525e-05,0.711847,0.692443,0.046539,0.241528,8.65525e-05,0.711847,0.0610471,0.548139,1091.56,0,0,3.2308,3.2308,0.0336537,301.598,1.73403,0.0223144,0.0275647,-0.0066681,3.44084e-05
-1.60513,0.978284,0.000208264,2,7,0,3.34646,0.693105,0.0467065,0.24231,4.15e-05,8.63874e-05,0.710897,0.693105,0.0467065,0.24231,8.63874e-05,0.710897,0.0607921,0.548023,1091.45,0,0,3.22661,3.22661,0.0336275,301.441,1.73463,0.0224375,-0.128832,-0.00606641,0.000157538
-1.24406,0.50269,0.000385248,2,7,0,1.77372,0.693229,0.0466139,0.24164,4.15e-05,8.63565e-05,0.711659,0.693229,0.0466139,0.24164,8.63565e-05,0.711659,0.0608674,0.548058,1091.47,0,0,3.23,3.23,0.033657,301.492,1.73416,0.0224011,-0.077606,-0.00653534,0.000121066
-1.47128,0.974199,0.000163498,5,35,0,1.69696,0.692631,0.0467104,0.241816,4.15e-05,8.65057e-05,0.711387,0.692631,0.0467104,0.241816,8.65057e-05,0.711387,0.0608516,0.54805,1091.45,0,0,3.22876,3.22876,0.0336338,301.586,1.73432,0.0224087,0.0156178,-0.00638088,0.000128726
-2.50319,0.695005,0.000301612,4,31,0,3.41769,0.694322,0.0466835,0.241376,4.15e-05,8.60849e-05,0.711855,0.694322,0.0466835,0.241376,8.60849e-05,0.711855,0.0606528,0.547959,1091.36,0,0,3.23091,3.23091,0.033677,301.399,1.73407,0.0225053,-0.171296,-0.00663368,0.000225286
-1.92299,0.998625,0.000236395,3,7,0,2.84014,0.694147,0.0467729,0.241233,4.15e-05,8.61282e-05,0.711908,0.694147,0.0467729,0.241233,8.61282e-05,0.711908,0.0605877,0.547929,1091.3,0,0,3.23114,3.23114,0.0336707,301.476,1.73403,0.0225371,-0.0935896,-0.00667218,0.000257051
-1.92299,2.3036e-05,0.000468751,1,1,0,3.76455,0.694147,0.0467729,0.241233,4.15e-05,8.61282e-05,0.711908,0.694147,0.0467729,0.241233,8.61282e-05,0.711908,0.0605877,0.547929,1091.3,0,0,3.23114,3.23114,0.0336707,301.476,1.73403,0.0225371,-0.0935896,-0.00667218,0.000257051
-2.63718,0.995564,4.58433e-05,4,15,0,3.14287,0.694255,0.046725,0.241549,4.15e-05,8.61013e-05,0.711639,0.694255,0.046725,0.241549,8.61013e-05,0.711639,0.0606205,0.547944,1091.34,0,0,3.22995,3.22995,0.0336672,301.396,1.7342,0.022521,-0.173617,-0.00650184,0.000240998
-2.51948,0.990126,9.08625e-05,5,31,0,4.02839,0.694179,0.0461606,0.23957,4.15e-05,8.61202e-05,0.714183,0.694179,0.0461606,0.23957,8.61202e-05,0.714183,0.0611937,0.548205,1091.63,0,0,3.24133,3.24133,0.0337728,301.513,1.73262,0.0222441,-0.0570093,-0.00808341,-3.58972e-05
-1.48503,0.999299,0.000175651,6,115,0,4.81684,0.681922,0.0481016,0.256165,4.15e-05,8.9244e-05,0.695644,0.681922,0.0481016,0.256165,8.9244e-05,0.695644,0.0609358,0.548089,1091.78,0,0,3.16088,3.16088,0.0329349,301.51,1.74355,0.022368,-0.0603797,0.00285259,8.80491e-05
-1.48503,0.0107501,0.000345607,3,7,0,2.36626,0.681922,0.0481016,0.256165,4.15e-05,8.9244e-05,0.695644,0.681922,0.0481016,0.256165,8.9244e-05,0.695644,0.0609358,0.548089,1091.78,0,0,3.16088,3.16088,0.0329349,301.51,1.74355,0.022368,-0.0603797,0.00285259,8.80491e-05
-0.526509,0.998353,3.80427e-05,9,703,0,3.6098,0.684981,0.0476372,0.25159,4.15e-05,8.84487e-05,0.700685,0.684981,0.0476372,0.25159,8.84487e-05,0.700685,0.0609705,0.548104,1091.71,0,0,3.18208,3.18208,0.0331497,301.565,1.74065,0.0223513,-0.00475195,-5.14889e-05,7.13031e-05
-0.629244,0.997769,7.49518e-05,3,7,0,0.653821,0.684983,0.0476733,0.251554,4.15e-05,8.8448e-05,0.700685,0.684983,0.0476733,0.251554,8.8448e-05,0.700685,0.060935,0.548088,1091.68,0,0,3.18208,3.18208,0.0331478,301.582,1.74065,0.0223684,0.0122882,-5.19371e-05,8.84112e-05
-0.559202,0.960523,0.000145865,2,3,0,1.05657,0.685024,0.0475165,0.251587,4.15e-05,8.84376e-05,0.700809,0.685024,0.0475165,0.251587,8.84376e-05,0.700809,0.0610824,0.548155,1091.78,0,0,3.18261,3.18261,0.0331603,301.519,1.74058,0.0222974,-0.051372,-0.000122497,1.74456e-05
-0.573062,0.991829,0.000252731,3,7,0,0.622738,0.685025,0.0476513,0.251616,4.15e-05,8.84373e-05,0.700645,0.685025,0.0476513,0.251616,8.84373e-05,0.700645,0.0609508,0.548096,1091.7,0,0,3.18191,3.18191,0.0331485,301.56,1.74067,0.0223608,-0.010189,-2.68724e-05,8.08097e-05
-0.573062,0.000138154,0.000473913,1,3,1,2.3107,0.685025,0.0476513,0.251616,4.15e-05,8.84373e-05,0.700645,0.685025,0.0476513,0.251616,8.84373e-05,0.700645,0.0609508,0.548096,1091.7,0,0,3.18191,3.18191,0.0331485,301.56,1.74067,0.0223608,-0.010189,-2.68724e-05,8.08097e-05
-0.619061,0.999391,5.55637e-05,8,391,0,1.00779,0.685388,0.0473512,0.250218,4.15e-05,8.83436e-05,0.702342,0.685388,0.0473512,0.250218,8.83436e-05,0.702342,0.0611949,0.548206,1091.81,0,0,3.18913,3.18913,0.0332184,301.609,1.73967,0.0222435,0.0389651,-0.00102985,-3.64592e-05
-0.547233,0.993733,0.000106671,7,223,0,1.68081,0.68274,0.0476295,0.253872,4.15e-05,8.90301e-05,0.698409,0.68274,0.0476295,0.253872,8.90301e-05,0.698409,0.0612824,0.548245,1091.94,0,0,3.17242,3.17242,0.0330497,301.56,1.74195,0.0222018,-0.0101659,0.00125059,-7.82391e-05
-0.514602,0.999497,0.000199477,7,155,0,0.944222,0.685047,0.0474785,0.251433,4.15e-05,8.84316e-05,0.701,0.685047,0.0474785,0.251433,8.84316e-05,0.701,0.0611164,0.548171,1091.8,0,0,3.18342,3.18342,0.0331681,301.525,1.74046,0.0222811,-0.0453075,-0.000235785,1.13524e-06
-0.514602,0.00347378,0.000375012,1,3,0,2.44457,0.685047,0.0474785,0.251433,4.15e-05,8.84316e-05,0.701,0.685047,0.0474785,0.251433,8.84316e-05,0.701,0.0611164,0.548171,1091.8,0,0,3.18342,3.18342,0.0331681,301.525,1.74046,0.0222811,-0.0453075,-0.000235785,1.13524e-06
-0.594036,0.998398,4.7693e-05,3,15,0,0.753719,0.685008,0.0476476,0.251417,4.15e-05,8.84417e-05,0.700847,0.685008,0.0476476,0.251417,8.84417e-05,0.700847,0.0609567,0.548098,1091.69,0,0,3.18276,3.18276,0.0331541,301.59,1.74055,0.022358,0.0199029,-0.000147953,7.79565e-05
-1.49407,0.984833,8.95032e-05,8,279,0,3.29165,0.67836,0.0479338,0.258495,4.15e-05,9.01836e-05,0.693481,0.67836,0.0479338,0.258495,9.01836e-05,0.693481,0.0615858,0.54838,1092.19,0,0,3.15185,3.15185,0.0328261,301.645,1.74474,0.0220578,0.0751701,0.00403746,-0.000222197
-1.16475,0.982236,0.000160374,7,191,0,1.76987,0.682727,0.0480381,0.254913,4.15e-05,8.90337e-05,0.69696,0.682727,0.0480381,0.254913,8.90337e-05,0.69696,0.0608876,0.548067,1091.72,0,0,3.16637,3.16637,0.0329877,301.55,1.7428,0.0223913,-0.0201618,0.00209881,0.000111312
-0.877878,0.99982,0.00028271,5,47,0,1.58662,0.683119,0.0474557,0.252817,4.15e-05,8.89314e-05,0.699638,0.683119,0.0474557,0.252817,8.89314e-05,0.699638,0.0614011,0.548298,1091.98,0,0,3.1776,3.1776,0.0330994,301.598,1.74123,0.0221453,0.0283419,0.000533022,-0.000134726
-0.877878,1.62559e-19,0.000516997,1,1,0,2.22557,0.683119,0.0474557,0.252817,4.15e-05,8.89314e-05,0.699638,0.683119,0.0474557,0.252817,8.89314e-05,0.699638,0.0614011,0.548298,1091.98,0,0,3.1776,3.1776,0.0330994,301.598,1.74123,0.0221453,0.0283419,0.000533022,-0.000134726
-2.44868,0.956746,7.03908e-05,6,71,0,4.33835,0.682487,0.0477473,0.255381,4.15e-05,8.90962e-05,0.696782,0.682487,0.0477473,0.255381,8.90962e-05,0.696782,0.061202,0.548209,1091.94,0,0,3.16563,3.16563,0.0329942,301.42,1.7429,0.0222402,-0.150149,0.00220275,-3.98367e-05
-1.11332,0.988365,0.000115341,3,15,0,4.42553,0.682149,0.0479421,0.254437,4.15e-05,8.91845e-05,0.697532,0.682149,0.0479421,0.254437,8.91845e-05,0.697532,0.0610589,0.548145,1091.8,0,0,3.16873,3.16873,0.0329991,301.67,1.74245,0.0223088,0.100109,0.00175052,2.87695e-05
-1.05026,0.974228,0.000203258,6,99,0,2.33371,0.689401,0.0471347,0.245791,4.15e-05,8.73181e-05,0.706987,0.689401,0.0471347,0.245791,8.73181e-05,0.706987,0.0608657,0.548057,1091.53,0,0,3.20929,3.20929,0.0334289,301.604,1.73695,0.0224019,0.0336245,-0.00374964,0.000121908
-1.05026,8.77776e-09,0.000342557,1,3,0,4.80115,0.689401,0.0471347,0.245791,4.15e-05,8.73181e-05,0.706987,0.689401,0.0471347,0.245791,8.73181e-05,0.706987,0.0608657,0.548057,1091.53,0,0,3.20929,3.20929,0.0334289,301.604,1.73695,0.0224019,0.0336245,-0.00374964,0.000121908
-1.54973,0.986272,4.96e-05,6,79,0,3.48872,0.689945,0.0471171,0.245044,4.15e-05,8.71803e-05,0.707752,0.689945,0.0471171,0.245044,8.71803e-05,0.707752,0.06081,0.548031,1091.48,0,0,3.21264,3.21264,0.0334609,301.63,1.7365,0.0224289,0.0597649,-0.00420493,0.000148889
-1.54892,0.986375,8.63122e-05,4,23,0,2.96488,0.69021,0.0472486,0.245977,4.15e-05,8.71134e-05,0.706687,0.69021,0.0472486,0.245977,8.71134e-05,0.706687,0.0606456,0.547956,1091.42,0,0,3.20801,3.20801,0.0334274,301.498,1.73715,0.0225088,-0.0722386,-0.00355036,0.000228792
-1.15116,0.999555,0.000148974,3,7,0,2.01812,0.690297,0.0471601,0.245542,4.15e-05,8.70916e-05,0.70721,0.690297,0.0471601,0.245542,8.70916e-05,0.70721,0.0607206,0.54799,1091.46,0,0,3.2103,3.2103,0.0334487,301.519,1.73683,0.0224723,-0.0506278,-0.0038665,0.000192261
-1.80618,0.967695,0.000263416,6,95,0,3.20851,0.680661,0.0477783,0.255291,4.15e-05,8.95749e-05,0.696841,0.680661,0.0477783,0.255291,8.95749e-05,0.696841,0.0614213,0.548307,1092.02,0,0,3.1658,3.1658,0.0329641,301.711,1.74283,0.0221357,0.141105,0.00212682,-0.000144334
-1.80618,0.000160445,0.00042732,1,3,1,3.12755,0.680661,0.0477783,0.255291,4.15e-05,8.95749e-05,0.696841,0.680661,0.0477783,0.255291,8.95749e-05,0.696841,0.0614213,0.548307,1092.02,0,0,3.1658,3.1658,0.0329641,301.711,1.74283,0.0221357,0.141105,0.00212682,-0.000144334
-1.2241,0.999998,6.60612e-05,8,415,0,2.78533,0.684092,0.0474327,0.251319,4.15e-05,8.86787e-05,0.70116,0.684092,0.0474327,0.251319,8.86787e-05,0.70116,0.0612911,0.548249,1091.88,0,0,3.18406,3.18406,0.0331593,301.666,1.74035,0.0221976,0.095605,-0.000351989,-8.23724e-05
-2.7202,0.895784,0.000116076,4,15,0,3.51181,0.684439,0.0470682,0.251359,4.15e-05,8.85888e-05,0.701484,0.684439,0.0470682,0.251359,8.85888e-05,0.701484,0.0616037,0.548388,1092.1,0,0,3.18546,3.18546,0.0331936,301.486,1.74017,0.0220494,-0.0838467,-0.000532135,-0.000230607
-0.966653,0.978611,0.00015772,2,7,0,3.39716,0.684509,0.0472861,0.251025,4.15e-05,8.85707e-05,0.701601,0.684509,0.0472861,0.251025,8.85707e-05,0.701601,0.0613785,0.548288,1091.94,0,0,3.18595,3.18595,0.0331864,301.598,1.7401,0.022156,0.0279906,-0.00060382,-0.000124
-1.12317,0.978091,0.00025967,5,47,0,1.44185,0.685724,0.0475331,0.251254,4.15e-05,8.8257e-05,0.701125,0.685724,0.0475331,0.251254,8.8257e-05,0.701125,0.0609713,0.548105,1091.72,0,0,3.18397,3.18397,0.0331798,301.471,1.7404,0.0223509,-0.0994782,-0.000295978,7.09149e-05
