# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = shift_model
# start_datetime = 2023-03-15 14:02:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 2500
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = data/shift.json
# init = config/init.json
# random
#   seed = 3971863240 (Default)
# output
#   file = output/shift/chain/2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Omega_b,Omega_c,wr,Omega_r,lambda,g1,g2,zstar,faketheta.1,faketheta.2,faketheta.3,faketheta.4,faketheta.5,faketheta.6,y1,dy1,y2,dy2,S.1.1,S.1.2,sol,la,R,wb,x.1,x.2,x.3
-16.071,1,0.000244141,1,1,0,326.244,0.700411,0.0437029,0.251993,4.15e-05,8.45945e-05,0.400961,0.0629257,0.548951,1093.48,0.700411,0.0437029,0.251993,8.45945e-05,0.400961,1093.48,1,0.32278,0,1,22562.5,3.23796,0.0337201,301.671,1.76074,0.0214396,0.101093,0.0200384,-0.000840442
-16.071,0,14.3855,0,1,1,19.1983,0.700411,0.0437029,0.251993,4.15e-05,8.45945e-05,0.400961,0.0629257,0.548951,1093.48,0.700411,0.0437029,0.251993,8.45945e-05,0.400961,1093.48,1,0.32278,0,1,22562.5,3.23796,0.0337201,301.671,1.76074,0.0214396,0.101093,0.0200384,-0.000840442
-16.071,0,2.43117,0,1,1,22.2805,0.700411,0.0437029,0.251993,4.15e-05,8.45945e-05,0.400961,0.0629257,0.548951,1093.48,0.700411,0.0437029,0.251993,8.45945e-05,0.400961,1093.48,1,0.32278,0,1,22562.5,3.23796,0.0337201,301.671,1.76074,0.0214396,0.101093,0.0200384,-0.000840442
-16.071,0,0.239791,0,1,1,18.7351,0.700411,0.0437029,0.251993,4.15e-05,8.45945e-05,0.400961,0.0629257,0.548951,1093.48,0.700411,0.0437029,0.251993,8.45945e-05,0.400961,1093.48,1,0.32278,0,1,22562.5,3.23796,0.0337201,301.671,1.76074,0.0214396,0.101093,0.0200384,-0.000840442
-16.071,0,0.0186273,0,1,1,17.0178,0.700411,0.0437029,0.251993,4.15e-05,8.45945e-05,0.400961,0.0629257,0.548951,1093.48,0.700411,0.0437029,0.251993,8.45945e-05,0.400961,1093.48,1,0.32278,0,1,22562.5,3.23796,0.0337201,301.671,1.76074,0.0214396,0.101093,0.0200384,-0.000840442
-16.071,0,0.00130482,0,1,1,19.8628,0.700411,0.0437029,0.251993,4.15e-05,8.45945e-05,0.400961,0.0629257,0.548951,1093.48,0.700411,0.0437029,0.251993,8.45945e-05,0.400961,1093.48,1,0.32278,0,1,22562.5,3.23796,0.0337201,301.671,1.76074,0.0214396,0.101093,0.0200384,-0.000840442
-12.5555,0.941834,8.85015e-05,2,5,0,19.7985,0.700227,0.0442202,0.251682,4.15e-05,8.46389e-05,0.400885,0.0623931,0.548729,1093.11,0.700227,0.0442202,0.251682,8.46389e-05,0.400885,1093.11,1,0.323045,0,1,22557.5,3.23703,0.0336819,301.925,1.76084,0.021682,0.355276,0.0201403,-0.000598026
-9.10349,0.978278,0.000113467,3,15,0,15.961,0.700742,0.0445713,0.253312,4.15e-05,8.45147e-05,0.400148,0.0619516,0.54854,1092.9,0.700742,0.0445713,0.253312,8.45147e-05,0.400148,1092.9,1,0.325605,0,1,22604.1,3.22827,0.0336127,301.729,1.76195,0.0218863,0.158557,0.0212497,-0.000393736
-9.06588,0.981467,0.000178014,4,31,0,10.2919,0.70128,0.0446417,0.253089,4.15e-05,8.4385e-05,0.400205,0.0618055,0.548476,1092.81,0.70128,0.0446417,0.253089,8.4385e-05,0.400205,1092.81,1,0.325407,0,1,22592.6,3.22896,0.0336218,301.711,1.76188,0.0219545,0.141111,0.021175,-0.000325489
-9.95964,0.265814,0.000299474,4,15,0,10.7509,0.701532,0.0448344,0.252694,4.15e-05,8.43243e-05,0.40028,0.0615703,0.548373,1092.65,0.701532,0.0448344,0.252694,8.43243e-05,0.40028,1092.65,1,0.325145,0,1,22579.3,3.22986,0.0336209,301.803,1.76176,0.0220651,0.233354,0.021064,-0.000214857
