# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = shift_model
# start_datetime = 2023-03-15 14:02:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 2500
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = data/shift.json
# init = config/init.json
# random
#   seed = 3971865241 (Default)
# output
#   file = output/shift/chain/3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Omega_b,Omega_c,wr,Omega_r,lambda,g1,g2,zstar,faketheta.1,faketheta.2,faketheta.3,faketheta.4,faketheta.5,faketheta.6,y1,dy1,y2,dy2,S.1.1,S.1.2,sol,la,R,wb,x.1,x.2,x.3
-17.7435,1,0.000244141,1,1,0,325.362,0.700677,0.0435855,0.251676,4.15e-05,8.45302e-05,0.401123,0.0630174,0.548989,1093.54,0.700677,0.0435855,0.251676,8.45302e-05,0.401123,1093.54,1,0.322219,0,1,22549.7,3.23991,0.0337438,301.64,1.7605,0.0213983,0.070364,0.0198025,-0.000881744
-17.7435,0,14.3855,0,1,1,20.7058,0.700677,0.0435855,0.251676,4.15e-05,8.45302e-05,0.401123,0.0630174,0.548989,1093.54,0.700677,0.0435855,0.251676,8.45302e-05,0.401123,1093.54,1,0.322219,0,1,22549.7,3.23991,0.0337438,301.64,1.7605,0.0213983,0.070364,0.0198025,-0.000881744
-17.7435,0,2.43117,0,1,1,18.5356,0.700677,0.0435855,0.251676,4.15e-05,8.45302e-05,0.401123,0.0630174,0.548989,1093.54,0.700677,0.0435855,0.251676,8.45302e-05,0.401123,1093.54,1,0.322219,0,1,22549.7,3.23991,0.0337438,301.64,1.7605,0.0213983,0.070364,0.0198025,-0.000881744
-17.7435,0,0.239791,0,1,1,19.0429,0.700677,0.0435855,0.251676,4.15e-05,8.45302e-05,0.401123,0.0630174,0.548989,1093.54,0.700677,0.0435855,0.251676,8.45302e-05,0.401123,1093.54,1,0.322219,0,1,22549.7,3.23991,0.0337438,301.64,1.7605,0.0213983,0.070364,0.0198025,-0.000881744
-17.7435,0,0.0186273,0,1,1,18.3936,0.700677,0.0435855,0.251676,4.15e-05,8.45302e-05,0.401123,0.0630174,0.548989,1093.54,0.700677,0.0435855,0.251676,8.45302e-05,0.401123,1093.54,1,0.322219,0,1,22549.7,3.23991,0.0337438,301.64,1.7605,0.0213983,0.070364,0.0198025,-0.000881744
-17.7435,0,0.00130482,0,1,1,18.8181,0.700677,0.0435855,0.251676,4.15e-05,8.45302e-05,0.401123,0.0630174,0.548989,1093.54,0.700677,0.0435855,0.251676,8.45302e-05,0.401123,1093.54,1,0.322219,0,1,22549.7,3.23991,0.0337438,301.64,1.7605,0.0213983,0.070364,0.0198025,-0.000881744
-9.82636,0.988466,8.85015e-05,7,151,0,19.4678,0.709048,0.0444581,0.245568,4.15e-05,8.25462e-05,0.403065,0.0609706,0.548105,1092.17,0.709048,0.0444581,0.245568,8.25462e-05,0.403065,1092.17,1,0.315486,0,1,22288.3,3.2638,0.0339848,301.71,1.75769,0.0223512,0.139783,0.0169919,7.12322e-05
-6.91572,0.983541,0.000131192,3,15,0,10.92,0.708688,0.0436177,0.244865,4.15e-05,8.263e-05,0.403635,0.0619082,0.548521,1092.75,0.708688,0.0436177,0.244865,8.263e-05,0.403635,1092.75,1,0.31351,0,1,22264.8,3.27089,0.0340748,301.566,1.75681,0.0219065,-0.00380179,0.0161118,-0.000373524
-5.95155,1,0.000209548,3,7,0,6.70271,0.70877,0.0437007,0.244704,4.15e-05,8.26108e-05,0.403664,0.0618081,0.548477,1092.68,0.70877,0.0437007,0.244704,8.26108e-05,0.403664,1092.68,1,0.31341,0,1,22259.5,3.27125,0.0340736,301.61,1.75677,0.0219533,0.0395286,0.016067,-0.000326693
-5.65996,0.666967,0.000374067,2,3,0,5.80159,0.70874,0.0439519,0.244889,4.15e-05,8.2618e-05,0.403503,0.061544,0.548361,1092.52,0.70874,0.0439519,0.244889,8.2618e-05,0.403503,1092.52,1,0.313969,0,1,22267.1,3.26923,0.0340452,301.675,1.75701,0.0220776,0.105222,0.0163137,-0.000202439
