# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = shift_model
# start_datetime = 2023-03-15 15:14:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 2500
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = data/shift-mock.json
# init = config/init.json
# random
#   seed = 3976161899 (Default)
# output
#   file = output/shift_mock/chain/2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Omega_b,Omega_c,wr,Omega_r,lambda,g1,g2,zstar,faketheta.1,faketheta.2,faketheta.3,faketheta.4,faketheta.5,faketheta.6,y1,dy1,y2,dy2,S.1.1,S.1.2,sol,la,R,wb,x.1,x.2,x.3
-0.820372,0.997382,0.00012207,7,189,0,1.11638,0.706387,0.0493811,0.243064,4.15e-05,8.31693e-05,0.402169,0.0565794,0.545867,1089.12,0.706387,0.0493811,0.243064,8.31693e-05,0.402169,1089.12,1,0.318591,0,1,22277.8,3.25258,0.0335853,304.249,1.75894,0.0246403,-0.0327703,-0.00407953,0.000140297
-0.820372,0,14.3172,0,1,1,2.37587,0.706387,0.0493811,0.243064,4.15e-05,8.31693e-05,0.402169,0.0565794,0.545867,1089.12,0.706387,0.0493811,0.243064,8.31693e-05,0.402169,1089.12,1,0.318591,0,1,22277.8,3.25258,0.0335853,304.249,1.75894,0.0246403,-0.0327703,-0.00407953,0.000140297
-0.820372,0,2.41621,0,1,1,0.938233,0.706387,0.0493811,0.243064,4.15e-05,8.31693e-05,0.402169,0.0565794,0.545867,1089.12,0.706387,0.0493811,0.243064,8.31693e-05,0.402169,1089.12,1,0.318591,0,1,22277.8,3.25258,0.0335853,304.249,1.75894,0.0246403,-0.0327703,-0.00407953,0.000140297
-0.820372,0,0.238125,0,1,1,1.23217,0.706387,0.0493811,0.243064,4.15e-05,8.31693e-05,0.402169,0.0565794,0.545867,1089.12,0.706387,0.0493811,0.243064,8.31693e-05,0.402169,1089.12,1,0.318591,0,1,22277.8,3.25258,0.0335853,304.249,1.75894,0.0246403,-0.0327703,-0.00407953,0.000140297
-0.820372,0,0.0184885,0,1,1,4.00667,0.706387,0.0493811,0.243064,4.15e-05,8.31693e-05,0.402169,0.0565794,0.545867,1089.12,0.706387,0.0493811,0.243064,8.31693e-05,0.402169,1089.12,1,0.318591,0,1,22277.8,3.25258,0.0335853,304.249,1.75894,0.0246403,-0.0327703,-0.00407953,0.000140297
-0.820372,0,0.00129468,0,1,1,2.76915,0.706387,0.0493811,0.243064,4.15e-05,8.31693e-05,0.402169,0.0565794,0.545867,1089.12,0.706387,0.0493811,0.243064,8.31693e-05,0.402169,1089.12,1,0.318591,0,1,22277.8,3.25258,0.0335853,304.249,1.75894,0.0246403,-0.0327703,-0.00407953,0.000140297
-0.714899,0.995572,8.7795e-05,3,15,0,1.08481,0.706295,0.0493054,0.242909,4.15e-05,8.31909e-05,0.402254,0.0566579,0.545911,1089.16,0.706295,0.0493054,0.242909,8.31909e-05,0.402254,1089.16,1,0.318296,0,1,22273.2,3.25362,0.033595,304.258,1.7588,0.0245961,-0.0241095,-0.00421076,9.61478e-05
-0.920428,0.799448,0.000133037,7,167,0,4.47544,0.701568,0.0497704,0.247464,4.15e-05,8.43157e-05,0.40039,0.0568351,0.546011,1089.33,0.701568,0.0497704,0.247464,8.43157e-05,0.40039,1089.33,1,0.324765,0,1,22459.6,3.23101,0.0333508,304.356,1.76152,0.0244969,0.0743215,-0.0014944,-3.13307e-06
-0.735987,0.998508,0.000119165,6,95,0,1.34327,0.702592,0.0496424,0.24726,4.15e-05,8.407e-05,0.400513,0.05682,0.546003,1089.34,0.702592,0.0496424,0.24726,8.407e-05,0.400513,1089.34,1,0.324336,0,1,22442.7,3.23252,0.0333831,304.203,1.76136,0.0245053,-0.078268,-0.00165571,5.29624e-06
-1.15446,0.85434,0.000211146,6,123,0,2.17971,0.695793,0.0506179,0.254389,4.15e-05,8.57212e-05,0.397488,0.0568196,0.546003,1089.42,0.695793,0.0506179,0.254389,8.57212e-05,0.397488,1089.42,1,0.334853,0,1,22729.8,3.19705,0.0329966,304.39,1.76565,0.0245055,0.108344,0.00263126,5.49964e-06
