# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = shift_model
# start_datetime = 2023-03-15 15:14:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 2500
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = data/shift-mock.json
# init = config/init.json
# random
#   seed = 3976165902 (Default)
# output
#   file = output/shift_mock/chain/4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Omega_b,Omega_c,wr,Omega_r,lambda,g1,g2,zstar,faketheta.1,faketheta.2,faketheta.3,faketheta.4,faketheta.5,faketheta.6,y1,dy1,y2,dy2,S.1.1,S.1.2,sol,la,R,wb,x.1,x.2,x.3
-2.41796,0.982133,0.00012207,8,343,0,3.35558,0.685433,0.0515787,0.266601,4.15e-05,8.83321e-05,0.392529,0.0573125,0.546277,1089.91,0.685433,0.0515787,0.266601,8.83321e-05,0.392529,1089.91,1,0.352153,0,1,23199,3.14204,0.0324329,304.352,1.77234,0.0242326,0.0701658,0.00932843,-0.000267414
-2.41796,0,13.9257,0,1,1,4.75663,0.685433,0.0515787,0.266601,4.15e-05,8.83321e-05,0.392529,0.0573125,0.546277,1089.91,0.685433,0.0515787,0.266601,8.83321e-05,0.392529,1089.91,1,0.352153,0,1,23199,3.14204,0.0324329,304.352,1.77234,0.0242326,0.0701658,0.00932843,-0.000267414
-2.41796,0,2.33091,0,1,1,2.66787,0.685433,0.0515787,0.266601,4.15e-05,8.83321e-05,0.392529,0.0573125,0.546277,1089.91,0.685433,0.0515787,0.266601,8.83321e-05,0.392529,1089.91,1,0.352153,0,1,23199,3.14204,0.0324329,304.352,1.77234,0.0242326,0.0701658,0.00932843,-0.000267414
-2.41796,0,0.228642,0,1,1,3.2383,0.685433,0.0515787,0.266601,4.15e-05,8.83321e-05,0.392529,0.0573125,0.546277,1089.91,0.685433,0.0515787,0.266601,8.83321e-05,0.392529,1089.91,1,0.352153,0,1,23199,3.14204,0.0324329,304.352,1.77234,0.0242326,0.0701658,0.00932843,-0.000267414
-2.41796,0,0.0177002,0,1,1,3.49459,0.685433,0.0515787,0.266601,4.15e-05,8.83321e-05,0.392529,0.0573125,0.546277,1089.91,0.685433,0.0515787,0.266601,8.83321e-05,0.392529,1089.91,1,0.352153,0,1,23199,3.14204,0.0324329,304.352,1.77234,0.0242326,0.0701658,0.00932843,-0.000267414
-2.41796,0,0.00123714,0,1,1,3.21109,0.685433,0.0515787,0.266601,4.15e-05,8.83321e-05,0.392529,0.0573125,0.546277,1089.91,0.685433,0.0515787,0.266601,8.83321e-05,0.392529,1089.91,1,0.352153,0,1,23199,3.14204,0.0324329,304.352,1.77234,0.0242326,0.0701658,0.00932843,-0.000267414
-0.931185,0.99688,8.37899e-05,8,435,0,4.40791,0.693822,0.0508259,0.256838,4.15e-05,8.62089e-05,0.396492,0.0568886,0.546041,1089.51,0.693822,0.0508259,0.256838,8.62089e-05,0.396492,1089.51,1,0.338322,0,1,22823.4,3.1857,0.0328821,304.366,1.76703,0.024467,0.0845478,0.00401313,-3.2983e-05
-0.692314,0.972546,0.000127388,2,3,0,1.32606,0.693825,0.0507684,0.257008,4.15e-05,8.62082e-05,0.39645,0.056938,0.546069,1089.55,0.693825,0.0507684,0.257008,8.62082e-05,0.39645,1089.55,1,0.338469,0,1,22827.9,3.18523,0.0328821,304.32,1.76709,0.0244395,0.0387617,0.00407408,-6.04635e-05
-0.858004,0.979445,0.000196506,4,31,0,0.949922,0.693343,0.0508504,0.257408,4.15e-05,8.6328e-05,0.396269,0.056928,0.546064,1089.54,0.693343,0.0508504,0.257408,8.6328e-05,0.396269,1089.54,1,0.3391,0,1,22845.1,3.18318,0.0328572,304.355,1.76734,0.0244451,0.0738035,0.00431998,-5.49434e-05
-1.81156,0.0170826,0.000328637,5,61,0,4.63516,0.691006,0.0510403,0.260865,4.15e-05,8.6913e-05,0.394898,0.0570611,0.546138,1089.69,0.691006,0.0510403,0.260865,8.6913e-05,0.394898,1089.69,1,0.343881,0,1,22971.6,3.16788,0.0327125,304.232,1.76921,0.0243712,-0.0494043,0.00619707,-0.000128833
-1.66497,0.999964,2.72437e-05,3,7,0,1.85466,0.69101,0.0510734,0.260875,4.15e-05,8.69119e-05,0.394882,0.057032,0.546122,1089.67,0.69101,0.0510734,0.260875,8.69119e-05,0.394882,1089.67,1,0.343937,0,1,22972.1,3.1677,0.0327096,304.242,1.76923,0.0243873,-0.0398217,0.00621922,-0.000112703
-1.3209,0.999995,5.19864e-05,6,79,0,1.99105,0.690212,0.051199,0.260965,4.15e-05,8.71131e-05,0.3948,0.0570257,0.546118,1089.65,0.690212,0.051199,0.260965,8.71131e-05,0.3948,1089.65,1,0.344222,0,1,22983.6,3.16677,0.0326851,304.381,1.76933,0.0243908,0.0994663,0.00631419,-0.000109188
-2.27038,0.957988,0.000101233,3,15,0,3.11016,0.690361,0.051412,0.261031,4.15e-05,8.70755e-05,0.394695,0.0568244,0.546005,1089.53,0.690361,0.051412,0.261031,8.70755e-05,0.394695,1089.53,1,0.344589,0,1,22986.1,3.16562,0.0326684,304.426,1.76948,0.0245028,0.144161,0.00646065,2.83315e-06
-0.956381,0.993977,0.000174792,7,159,0,3.94569,0.708383,0.0490405,0.240658,4.15e-05,8.27012e-05,0.403186,0.0566352,0.545898,1089.11,0.708383,0.0490405,0.240658,8.27012e-05,0.403186,1089.11,1,0.315066,0,1,22182.7,3.26514,0.0337165,304.234,1.75742,0.0246089,-0.0472367,-0.00560014,0.000108864
-1.02002,0.408914,0.000339873,2,5,0,1.15747,0.708367,0.0490282,0.240466,4.15e-05,8.27051e-05,0.403261,0.0566483,0.545906,1089.11,0.708367,0.0490282,0.240466,8.27051e-05,0.403261,1089.11,1,0.314805,0,1,22176.9,3.26607,0.0337231,304.262,1.7573,0.0246015,-0.0193661,-0.00571752,0.000101529
-1.26361,0.967001,0.000107956,3,15,0,2.10886,0.708523,0.0490223,0.240909,4.15e-05,8.26684e-05,0.4031,0.0566342,0.545898,1089.13,0.708523,0.0490223,0.240909,8.26684e-05,0.4031,1089.13,1,0.315365,0,1,22188.9,3.26408,0.0337128,304.17,1.75755,0.0246095,-0.112045,-0.00546341,0.000109463
-1.4794,0.869029,0.00019535,2,3,0,2.06966,0.70858,0.0490596,0.241066,4.15e-05,8.26553e-05,0.403028,0.0565939,0.545875,1089.11,0.70858,0.0490596,0.241066,8.26553e-05,0.403028,1089.11,1,0.315614,0,1,22193.6,3.26319,0.0337057,304.151,1.75766,0.0246321,-0.130541,-0.00535134,0.000132121
-1.12401,0.999768,0.000261351,3,7,0,1.58135,0.708359,0.0491375,0.240691,4.15e-05,8.27067e-05,0.403138,0.0565518,0.545851,1089.06,0.708359,0.0491375,0.240691,8.27067e-05,0.403138,1089.06,1,0.315233,0,1,22185,3.26454,0.0337067,304.268,1.75749,0.0246559,-0.0137884,-0.00552727,0.000155888
-1.12401,1.76513e-45,0.000519631,1,1,0,3.97961,0.708359,0.0491375,0.240691,4.15e-05,8.27067e-05,0.403138,0.0565518,0.545851,1089.06,0.708359,0.0491375,0.240691,8.27067e-05,0.403138,1089.06,1,0.315233,0,1,22185,3.26454,0.0337067,304.268,1.75749,0.0246559,-0.0137884,-0.00552727,0.000155888
-1.76979,0.999881,5.07737e-05,9,639,0,2.44268,0.687977,0.0514156,0.264129,4.15e-05,8.768e-05,0.393526,0.0571254,0.546174,1089.77,0.687977,0.0514156,0.264129,8.768e-05,0.393526,1089.77,1,0.348672,0,1,23100.3,3.15281,0.0325494,304.302,1.77104,0.0243356,0.0207518,0.00802635,-0.000164396
-2.36527,0.961267,0.000101853,7,143,0,4.62839,0.685195,0.0519015,0.267653,4.15e-05,8.83934e-05,0.392009,0.057068,0.546142,1089.78,0.685195,0.0519015,0.267653,8.83934e-05,0.392009,1089.78,1,0.353973,0,1,23234.9,3.1365,0.0323764,304.346,1.77304,0.0243673,0.0642038,0.0100218,-0.000132657
-2.30943,0.99119,0.000180621,2,7,0,3.32809,0.685015,0.0517601,0.26722,4.15e-05,8.84398e-05,0.392226,0.0572114,0.546221,1089.86,0.685015,0.0517601,0.26722,8.84398e-05,0.392226,1089.86,1,0.353213,0,1,23222.8,3.1388,0.0323961,304.383,1.77274,0.0242882,0.101545,0.00972696,-0.000211801
-2.47817,0.972291,0.000346955,3,7,0,2.53507,0.6855,0.0518779,0.267529,4.15e-05,8.83146e-05,0.392065,0.0570489,0.546131,1089.78,0.6855,0.0518779,0.267529,8.83146e-05,0.392065,1089.78,1,0.353777,0,1,23228.1,3.1371,0.032386,304.314,1.77297,0.024378,0.0319445,0.00995342,-0.000122029
-2.56002,0.30569,0.000624752,1,3,1,2.71273,0.685486,0.0518766,0.267611,4.15e-05,8.83185e-05,0.392034,0.0570519,0.546133,1089.78,0.685486,0.0518766,0.267611,8.83185e-05,0.392034,1089.78,1,0.353884,0,1,23230.6,3.13678,0.0323837,304.304,1.77301,0.0243763,0.0219481,0.00999401,-0.0001237
-2.94306,0.994246,0.000163288,3,15,0,3.46004,0.685085,0.0515194,0.266418,4.15e-05,8.84218e-05,0.392621,0.0574083,0.546329,1089.96,0.685085,0.0515194,0.266418,8.84218e-05,0.392621,1089.96,1,0.351833,0,1,23196.5,3.14301,0.0324372,304.405,1.77221,0.0241802,0.123574,0.00919771,-0.000319848
-0.911931,0.397109,0.000312509,6,119,0,3.85657,0.696027,0.0505933,0.255123,4.15e-05,8.56635e-05,0.397222,0.0568114,0.545998,1089.45,0.696027,0.0505933,0.255123,8.56635e-05,0.397222,1089.45,1,0.335778,0,1,22749.2,3.19404,0.0329817,304.24,1.76603,0.0245101,-0.0413153,0.00301879,1.01092e-05
-0.757023,0.980759,0.000109044,6,111,0,1.79776,0.694197,0.0505704,0.256186,4.15e-05,8.61158e-05,0.396833,0.0570627,0.546139,1089.61,0.694197,0.0505704,0.256186,8.61158e-05,0.396833,1089.61,1,0.337136,0,1,22798.1,3.18956,0.0329266,304.322,1.76655,0.0243703,0.0401547,0.00353922,-0.000129671
-0.872566,0.916013,0.000199636,2,7,0,1.24364,0.694283,0.0507762,0.256335,4.15e-05,8.60945e-05,0.396699,0.0568732,0.546033,1089.49,0.694283,0.0507762,0.256335,8.60945e-05,0.396699,1089.49,1,0.337601,0,1,22803.6,3.18805,0.0329069,304.361,1.76674,0.0244756,0.0790243,0.00372844,-2.44104e-05
-1.43834,0.429603,0.000302178,2,5,0,1.8784,0.694251,0.0508277,0.256179,4.15e-05,8.61024e-05,0.396739,0.0568328,0.54601,1089.46,0.694251,0.0508277,0.256179,8.61024e-05,0.396739,1089.46,1,0.337463,0,1,22799.7,3.1885,0.0329065,304.406,1.76669,0.0244982,0.124774,0.00367069,-1.83647e-06
-2.59289,0.997004,0.000118567,3,15,0,3.82058,0.693798,0.0502452,0.25574,4.15e-05,8.62147e-05,0.397121,0.0573979,0.546323,1089.8,0.693798,0.0502452,0.25574,8.62147e-05,0.397121,1089.8,1,0.336131,0,1,22785.7,3.19282,0.0329597,304.327,1.76614,0.0241859,0.0458327,0.00312214,-0.000314147
-1.44062,1,0.000223522,3,7,0,2.78657,0.693774,0.0504354,0.256408,4.15e-05,8.62207e-05,0.3968,0.057234,0.546234,1089.72,0.693774,0.0504354,0.256408,8.62207e-05,0.3968,1089.72,1,0.33725,0,1,22807.5,3.18918,0.0329252,304.299,1.76659,0.0242757,0.0169172,0.00357916,-0.00022427
-0.964006,0.40269,0.000420395,2,5,0,3.56164,0.692942,0.0508715,0.257725,4.15e-05,8.6428e-05,0.396142,0.0569607,0.546082,1089.56,0.692942,0.0508715,0.257725,8.6428e-05,0.396142,1089.56,1,0.339543,0,1,22858.6,3.18174,0.0328407,304.37,1.76751,0.0244269,0.0887533,0.0044915,-7.31022e-05
