# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = shift_LCDM_model
# start_datetime = 2023-03-15 14:53:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 2500
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = data/shift-mock-LCDM.json
# init = config/init.json
# random
#   seed = 3974915429 (Default)
# output
#   file = output/shift-LCDM_mock/chain/2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Omega_b,Omega_c,wr,Omega_r,Omega_L,theta.1,theta.2,theta.3,theta.4,theta.5,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
-0.793723,0.934121,0.00012207,7,203,0,1.78893,0.704293,0.0495864,0.245512,4.15e-05,8.36646e-05,0.704818,0.704293,0.0495864,0.245512,8.36646e-05,0.704818,0.0566576,0.545911,1089.21,0,0,3.2004,3.2004,0.0334642,300.451,1.73855,0.0245963,-0.0802998,-0.00283971,9.62817e-05
-0.793723,0,12.7616,0,1,1,2.17138,0.704293,0.0495864,0.245512,4.15e-05,8.36646e-05,0.704818,0.704293,0.0495864,0.245512,8.36646e-05,0.704818,0.0566576,0.545911,1089.21,0,0,3.2004,3.2004,0.0334642,300.451,1.73855,0.0245963,-0.0802998,-0.00283971,9.62817e-05
-0.793723,0,2.08151,0,1,1,1.38345,0.704293,0.0495864,0.245512,4.15e-05,8.36646e-05,0.704818,0.704293,0.0495864,0.245512,8.36646e-05,0.704818,0.0566576,0.545911,1089.21,0,0,3.2004,3.2004,0.0334642,300.451,1.73855,0.0245963,-0.0802998,-0.00283971,9.62817e-05
-0.793723,0,0.201185,0,1,1,3.66533,0.704293,0.0495864,0.245512,4.15e-05,8.36646e-05,0.704818,0.704293,0.0495864,0.245512,8.36646e-05,0.704818,0.0566576,0.545911,1089.21,0,0,3.2004,3.2004,0.0334642,300.451,1.73855,0.0245963,-0.0802998,-0.00283971,9.62817e-05
-0.793723,0,0.0154314,0,1,1,0.840963,0.704293,0.0495864,0.245512,4.15e-05,8.36646e-05,0.704818,0.704293,0.0495864,0.245512,8.36646e-05,0.704818,0.0566576,0.545911,1089.21,0,0,3.2004,3.2004,0.0334642,300.451,1.73855,0.0245963,-0.0802998,-0.00283971,9.62817e-05
-0.793723,7.66373e-241,0.00107214,1,1,0,1.06485,0.704293,0.0495864,0.245512,4.15e-05,8.36646e-05,0.704818,0.704293,0.0495864,0.245512,8.36646e-05,0.704818,0.0566576,0.545911,1089.21,0,0,3.2004,3.2004,0.0334642,300.451,1.73855,0.0245963,-0.0802998,-0.00283971,9.62817e-05
-0.531907,0.999974,7.2335e-05,8,383,0,1.11005,0.699945,0.0500649,0.25053,4.15e-05,8.47072e-05,0.69932,0.699945,0.0500649,0.25053,8.47072e-05,0.69932,0.0567795,0.54598,1089.36,0,0,3.17683,3.17683,0.0332137,300.488,1.74175,0.0245279,-0.043513,0.000353235,2.79217e-05
-2.52089,0.974972,0.000110766,6,79,0,5.06966,0.700358,0.0494988,0.247905,4.15e-05,8.46073e-05,0.702512,0.700358,0.0494988,0.247905,8.46073e-05,0.702512,0.0572277,0.54623,1089.57,0,0,3.19037,3.19037,0.0333429,300.599,1.73986,0.0242792,0.0683927,-0.0015324,-0.000220776
-2.53154,0.981495,0.000171941,2,3,0,2.86886,0.700368,0.0495384,0.247823,4.15e-05,8.46048e-05,0.702554,0.700368,0.0495384,0.247823,8.46048e-05,0.702554,0.0571911,0.54621,1089.54,0,0,3.19055,3.19055,0.033342,300.624,1.73983,0.0242994,0.0930633,-0.0015581,-0.000200615
-3.42355,0.968169,0.000289235,2,3,0,3.6273,0.700234,0.0494867,0.247646,4.15e-05,8.46372e-05,0.702783,0.700234,0.0494867,0.247646,8.46372e-05,0.702783,0.0572541,0.546245,1089.57,0,0,3.19152,3.19152,0.0333495,300.649,1.7397,0.0242647,0.11758,-0.00169738,-0.000235284
-3.78522,0.0532114,0.000485186,1,1,0,6.70281,0.700296,0.0493262,0.248023,4.15e-05,8.46223e-05,0.702566,0.700296,0.0493262,0.248023,8.46223e-05,0.702566,0.0573898,0.546319,1089.67,0,0,3.19061,3.19061,0.0333532,300.528,1.73983,0.0241903,-0.00266756,-0.00156388,-0.000309746
-2.52639,0.998728,4.63827e-05,4,15,0,4.16015,0.700295,0.0498927,0.248278,4.15e-05,8.46224e-05,0.701745,0.700295,0.0498927,0.248278,8.46224e-05,0.701745,0.0568868,0.54604,1089.36,0,0,3.18709,3.18709,0.0332978,300.697,1.74031,0.024468,0.166295,-0.00108032,-3.19568e-05
-1.30867,0.997938,8.9992e-05,3,7,0,2.95603,0.700426,0.0496951,0.248331,4.15e-05,8.45908e-05,0.701889,0.700426,0.0496951,0.248331,8.45908e-05,0.701889,0.0570447,0.546129,1089.47,0,0,3.18772,3.18772,0.033315,300.601,1.74023,0.0243803,0.0695305,-0.00116084,-0.000119746
-1.70817,0.943759,0.000176209,4,15,0,1.91148,0.701944,0.0499006,0.248905,4.15e-05,8.42253e-05,0.70111,0.701944,0.0499006,0.248905,8.42253e-05,0.70111,0.0566736,0.54592,1089.29,0,0,3.18446,3.18446,0.0333041,300.392,1.74073,0.0245873,-0.138597,-0.000666871,8.73179e-05
-0.524668,0.220988,0.000292954,4,31,0,3.33556,0.700157,0.0500563,0.250291,4.15e-05,8.46559e-05,0.699568,0.700157,0.0500563,0.250291,8.46559e-05,0.699568,0.0567604,0.545969,1089.35,0,0,3.17788,3.17788,0.0332244,300.49,1.7416,0.0245386,-0.0410411,0.000210903,3.86095e-05
-0.646791,0.995509,5.20306e-05,7,255,0,1.16077,0.70033,0.0497828,0.249041,4.15e-05,8.4614e-05,0.701092,0.70033,0.0497828,0.249041,8.4614e-05,0.701092,0.0569792,0.546092,1089.45,0,0,3.18433,3.18433,0.0332858,300.544,1.7407,0.0244166,0.0133785,-0.000687992,-8.33827e-05
-0.703974,0.999975,0.000103304,7,207,0,1.11901,0.698066,0.0501248,0.251668,4.15e-05,8.51638e-05,0.698122,0.698066,0.0501248,0.251668,8.51638e-05,0.698122,0.056963,0.546083,1089.48,0,0,3.17173,3.17173,0.0331481,300.599,1.74241,0.0244256,0.0681479,0.00102152,-7.43886e-05
-0.922574,0.926573,0.000207139,3,11,0,1.51532,0.698335,0.0504358,0.252481,4.15e-05,8.50982e-05,0.696998,0.698335,0.0504358,0.252481,8.50982e-05,0.696998,0.0566579,0.545911,1089.32,0,0,3.16705,3.16705,0.0331032,300.562,1.74308,0.0245961,0.0310433,0.00168423,9.61372e-05
-0.521962,0.326648,0.000330509,4,17,0,0.905498,0.698335,0.0501677,0.251634,4.15e-05,8.50982e-05,0.698113,0.698335,0.0501677,0.251634,8.50982e-05,0.698113,0.0568915,0.546043,1089.44,0,0,3.17171,3.17171,0.0331495,300.584,1.74242,0.0244654,0.0526344,0.00103162,-3.46103e-05
-1.35835,0.995931,8.65286e-05,8,335,0,2.44724,0.692372,0.0510806,0.259707,4.15e-05,8.65703e-05,0.689126,0.692372,0.0510806,0.259707,8.65703e-05,0.689126,0.0568528,0.546021,1089.55,0,0,3.13463,3.13463,0.0327611,300.592,1.7475,0.024487,0.0611936,0.00610948,-1.30086e-05
-1.3673,0.975314,0.000170795,6,79,0,2.30557,0.693015,0.0507662,0.25779,4.15e-05,8.64097e-05,0.691357,0.693015,0.0507662,0.25779,8.64097e-05,0.691357,0.0570425,0.546127,1089.62,0,0,3.14367,3.14367,0.0328487,300.656,1.74624,0.0243815,0.124542,0.00484814,-0.000118489
-0.924871,0.85295,0.000314364,3,15,0,1.37585,0.692937,0.0508114,0.258474,4.15e-05,8.64292e-05,0.690628,0.692937,0.0508114,0.258474,8.64292e-05,0.690628,0.0570132,0.546111,1089.63,0,0,3.14071,3.14071,0.0328251,300.589,1.74666,0.0243977,0.0575792,0.00526497,-0.000102286
-2.10071,0.0664243,0.000400779,1,3,0,4.56719,0.693152,0.0509188,0.257754,4.15e-05,8.63756e-05,0.691241,0.693152,0.0509188,0.257754,8.63756e-05,0.691241,0.0568932,0.546044,1089.53,0,0,3.1432,3.1432,0.0328392,300.697,1.74631,0.0244644,0.165736,0.00491561,-3.55561e-05
-2.36564,0.998468,5.17994e-05,7,191,0,3.89557,0.690332,0.0507736,0.26111,4.15e-05,8.70827e-05,0.688029,0.690332,0.0507736,0.26111,8.70827e-05,0.688029,0.0573783,0.546313,1089.89,0,0,3.13016,3.13016,0.0327172,300.566,1.74809,0.0241966,0.0354079,0.00669621,-0.000303437
-2.06146,1,0.00010182,3,7,0,2.41599,0.690354,0.0508235,0.261127,4.15e-05,8.70772e-05,0.687962,0.690354,0.0508235,0.261127,8.70772e-05,0.687962,0.0573321,0.546287,1089.86,0,0,3.1299,3.1299,0.0327131,300.579,1.74813,0.0242219,0.0478595,0.00673393,-0.000278128
-1.71938,0.929663,0.0001989,4,23,0,2.52949,0.691511,0.0510702,0.261151,4.15e-05,8.67861e-05,0.687692,0.691511,0.0510702,0.261151,8.67861e-05,0.687692,0.0569711,0.546088,1089.66,0,0,3.12885,3.12885,0.0327099,300.508,1.7483,0.0244211,-0.0229791,0.00690845,-7.88715e-05
-1.71938,0.195925,0.000314941,2,7,0,2.61874,0.691511,0.0510702,0.261151,4.15e-05,8.67861e-05,0.687692,0.691511,0.0510702,0.261151,8.67861e-05,0.687692,0.0569711,0.546088,1089.66,0,0,3.12885,3.12885,0.0327099,300.508,1.7483,0.0244211,-0.0229791,0.00690845,-7.88715e-05
-1.61437,0.999264,6.30376e-05,3,7,0,1.85164,0.691501,0.051092,0.261122,4.15e-05,8.67886e-05,0.687699,0.691501,0.051092,0.261122,8.67886e-05,0.687699,0.0569536,0.546078,1089.65,0,0,3.12888,3.12888,0.0327087,300.521,1.7483,0.0244308,-0.0100184,0.0069039,-6.91543e-05
-1.41275,0.99004,0.000121492,8,271,0,2.31787,0.709131,0.049103,0.23992,4.15e-05,8.25268e-05,0.710895,0.709131,0.049103,0.23992,8.25268e-05,0.710895,0.0564873,0.545814,1089.01,0,0,3.22715,3.22715,0.0337444,300.447,1.73494,0.0246923,-0.083919,-0.00644885,0.000192286
-0.94719,0.764729,0.000225807,5,55,0,2.59673,0.704394,0.0494488,0.244235,4.15e-05,8.36405e-05,0.706232,0.704394,0.0494488,0.244235,8.36405e-05,0.706232,0.0567668,0.545973,1089.23,0,0,3.20652,3.20652,0.0335149,300.571,1.7377,0.0245351,0.0397194,-0.0036932,3.50567e-05
-0.86786,0.844848,0.00022413,2,3,0,1.28574,0.7044,0.0493184,0.244345,4.15e-05,8.3639e-05,0.706253,0.7044,0.0493184,0.244345,8.3639e-05,0.706253,0.0568818,0.546038,1089.31,0,0,3.20662,3.20662,0.0335231,300.506,1.73769,0.0244708,-0.0246681,-0.00370408,-2.92037e-05
-1.05256,0.8178,0.00027658,2,3,0,1.1842,0.704387,0.0492694,0.244311,4.15e-05,8.36423e-05,0.706336,0.704387,0.0492694,0.244311,8.36423e-05,0.706336,0.0569272,0.546063,1089.34,0,0,3.20698,3.20698,0.0335281,300.495,1.73764,0.0244455,-0.0359475,-0.00375382,-5.44795e-05
-0.963794,0.145876,0.000316208,5,43,0,1.95776,0.702897,0.0496084,0.245872,4.15e-05,8.39972e-05,0.704436,0.702897,0.0496084,0.245872,8.39972e-05,0.704436,0.056812,0.545998,1089.29,0,0,3.19871,3.19871,0.0334308,300.592,1.73875,0.0245097,0.0609162,-0.00263863,9.73943e-06
-0.813002,0.996044,5.99017e-05,8,287,0,1.79793,0.700608,0.0500162,0.250013,4.15e-05,8.45471e-05,0.699887,0.700608,0.0500162,0.250013,8.45471e-05,0.699887,0.0567392,0.545957,1089.34,0,0,3.17924,3.17924,0.0332425,300.455,1.74142,0.0245505,-0.076069,3.16944e-05,5.04949e-05
-4.21418,0.828859,0.000110928,3,15,0,6.25869,0.70033,0.0500683,0.248299,4.15e-05,8.46141e-05,0.701548,0.70033,0.0500683,0.248299,8.46141e-05,0.701548,0.0567283,0.545951,1089.26,0,0,3.18625,3.18625,0.0332828,300.753,1.74043,0.0245566,0.222358,-0.000964343,5.66066e-05
-1.88497,0.999369,0.000131031,7,207,0,6.91739,0.694787,0.0506815,0.257402,4.15e-05,8.59696e-05,0.691831,0.694787,0.0506815,0.257402,8.59696e-05,0.691831,0.0568915,0.546043,1089.56,0,0,3.14566,3.14566,0.0328928,300.442,1.74601,0.0244654,-0.0892232,0.00461386,-3.45926e-05
-3.85815,0.755138,0.000240789,3,7,0,5.06288,0.6953,0.0511557,0.257554,4.15e-05,8.58427e-05,0.691205,0.6953,0.0511557,0.257554,8.58427e-05,0.691205,0.0564193,0.545775,1089.27,0,0,3.14313,3.14313,0.0328574,300.524,1.74637,0.0247308,-0.00746135,0.00497797,0.000230831
-2.60287,0.996755,0.000232873,2,3,0,4.14939,0.695212,0.0507302,0.25733,4.15e-05,8.58645e-05,0.691854,0.695212,0.0507302,0.25733,8.58645e-05,0.691854,0.0567956,0.545989,1089.5,0,0,3.14577,3.14577,0.0328972,300.413,1.746,0.0245189,-0.11841,0.00460861,1.89029e-05
-2.60287,1.177e-08,0.000419008,1,1,0,3.29495,0.695212,0.0507302,0.25733,4.15e-05,8.58645e-05,0.691854,0.695212,0.0507302,0.25733,8.58645e-05,0.691854,0.0567956,0.545989,1089.5,0,0,3.14577,3.14577,0.0328972,300.413,1.746,0.0245189,-0.11841,0.00460861,1.89029e-05
-2.27875,0.999894,5.88706e-05,7,223,0,3.52548,0.698376,0.0497276,0.250434,4.15e-05,8.50882e-05,0.699753,0.698376,0.0497276,0.250434,8.50882e-05,0.699753,0.0572742,0.546256,1089.64,0,0,3.1786,3.1786,0.0332211,300.588,1.74146,0.0242536,0.0572846,6.82784e-05,-0.000246365
-0.61453,0.998372,0.000106863,4,15,0,2.8414,0.698293,0.05003,0.25166,4.15e-05,8.51085e-05,0.698225,0.698293,0.05003,0.25166,8.51085e-05,0.698225,0.0570177,0.546114,1089.52,0,0,3.17218,3.17218,0.0331597,300.536,1.74236,0.0243953,0.00490062,0.000966659,-0.000104746
-1.46511,0.99152,0.000191463,6,95,0,3.54575,0.690885,0.0509009,0.260626,4.15e-05,8.69433e-05,0.688386,0.690885,0.0509009,0.260626,8.69433e-05,0.688386,0.0571969,0.546213,1089.77,0,0,3.13161,3.13161,0.0327284,300.603,1.7479,0.0242962,0.0716983,0.0065029,-0.000203845
-1.46511,0.00965751,0.000334232,6,87,0,3.21433,0.690885,0.0509009,0.260626,4.15e-05,8.69433e-05,0.688386,0.690885,0.0509009,0.260626,8.69433e-05,0.688386,0.0571969,0.546213,1089.77,0,0,3.13161,3.13161,0.0327284,300.603,1.7479,0.0242962,0.0716983,0.0065029,-0.000203845
-1.93565,0.999804,5.09537e-05,7,207,0,3.03421,0.690062,0.0512984,0.262981,4.15e-05,8.71508e-05,0.685633,0.690062,0.0512984,0.262981,8.71508e-05,0.685633,0.0569595,0.546081,1089.68,0,0,3.12061,3.12061,0.0326206,300.537,1.74943,0.0244276,0.00550701,0.00804007,-7.24392e-05
-1.78563,0.998529,9.08481e-05,5,63,0,2.14355,0.690174,0.0509609,0.261238,4.15e-05,8.71227e-05,0.687714,0.690174,0.0509609,0.261238,8.71227e-05,0.687714,0.0572359,0.546235,1089.8,0,0,3.12889,3.12889,0.0326963,300.637,1.74826,0.0242747,0.105738,0.00686932,-0.0002253
-2.05557,0.941847,0.000160092,2,3,0,2.15262,0.690199,0.0508461,0.261236,4.15e-05,8.71163e-05,0.687831,0.690199,0.0508461,0.261236,8.71163e-05,0.687831,0.0573322,0.546287,1089.86,0,0,3.12937,3.12937,0.032706,300.593,1.7482,0.0242218,0.0620417,0.00680489,-0.000278182
-2.28548,0.994537,0.000243881,2,3,0,2.47083,0.690119,0.0510536,0.261074,4.15e-05,8.71365e-05,0.687785,0.690119,0.0510536,0.261074,8.71365e-05,0.687785,0.0571628,0.546194,1089.74,0,0,3.12917,3.12917,0.0326924,300.699,1.74822,0.024315,0.168109,0.00682641,-0.000185006
-1.86256,0.333339,0.000419123,1,3,0,2.41425,0.690152,0.0510629,0.261294,4.15e-05,8.71281e-05,0.687556,0.690152,0.0510629,0.261294,8.71281e-05,0.687556,0.0571505,0.546187,1089.74,0,0,3.12826,3.12826,0.0326863,300.668,1.74835,0.0243218,0.137176,0.00695716,-0.000178234
-1.74151,0.917245,0.000147268,6,75,0,3.3108,0.693338,0.0509355,0.25782,4.15e-05,8.63292e-05,0.691159,0.693338,0.0509355,0.25782,8.63292e-05,0.691159,0.0568552,0.546023,1089.51,0,0,3.14287,3.14287,0.0328389,300.669,1.74636,0.0244856,0.137765,0.00496678,-1.43702e-05
-1.09849,0.610661,0.000209703,3,11,0,4.07669,0.69304,0.0506443,0.257925,4.15e-05,8.64036e-05,0.691344,0.69304,0.0506443,0.257925,8.64036e-05,0.691344,0.0571452,0.546184,1089.69,0,0,3.14362,3.14362,0.0328553,300.59,1.74625,0.0243247,0.0592612,0.00485809,-0.000175316
-1.27177,0.997327,0.000144231,4,15,0,1.99167,0.693001,0.0506041,0.257755,4.15e-05,8.64132e-05,0.691555,0.693001,0.0506041,0.257755,8.64132e-05,0.691555,0.0571851,0.546207,1089.71,0,0,3.14447,3.14447,0.0328626,300.605,1.74613,0.0243027,0.0734984,0.00473658,-0.000197336
-1.8401,0.969798,0.000246431,3,7,0,1.96094,0.692726,0.0505102,0.257765,4.15e-05,8.64819e-05,0.691638,0.692726,0.0505102,0.257765,8.64819e-05,0.691638,0.0573022,0.546271,1089.78,0,0,3.14481,3.14481,0.0328659,300.607,1.74608,0.0242383,0.075579,0.00468416,-0.000261709
-1.8401,2.07288e-07,0.000392035,1,1,0,3.26369,0.692726,0.0505102,0.257765,4.15e-05,8.64819e-05,0.691638,0.692726,0.0505102,0.257765,8.64819e-05,0.691638,0.0573022,0.546271,1089.78,0,0,3.14481,3.14481,0.0328659,300.607,1.74608,0.0242383,0.075579,0.00468416,-0.000261709
-1.35811,0.990349,6.58866e-05,5,63,0,2.71117,0.693734,0.0509529,0.257897,4.15e-05,8.62308e-05,0.691063,0.693734,0.0509529,0.257897,8.62308e-05,0.691063,0.0567903,0.545986,1089.48,0,0,3.1425,3.1425,0.0328412,300.612,1.74642,0.0245219,0.0805345,0.00502956,2.19103e-05
-1.31399,0.994582,0.000110078,5,59,0,1.95946,0.69265,0.0508729,0.258481,4.15e-05,8.65009e-05,0.690559,0.69265,0.0508729,0.258481,8.65009e-05,0.690559,0.0569966,0.546102,1089.61,0,0,3.14042,3.14042,0.0328155,300.648,1.74669,0.024407,0.116984,0.00529755,-9.30289e-05
